( a | a ) = 0.0015552395703730035
( b | a ) = 0.029638422669679813
( c | a ) = 0.037624101769799155
( d | a ) = 0.043349922555417315
( e | a ) = 0.0008569687428585938
( f | a ) = 0.012295914480867379
( g | a ) = 0.022274839397709672
( h | a ) = 0.013717847802351269
( i | a ) = 0.04442906837975776
( j | a ) = 0.0006411395779905035
( k | a ) = 0.013895589467536754
( l | a ) = 0.10837798034685016
( m | a ) = 0.028229185181423457
( n | a ) = 0.1951920879567326
( o | a ) = 0.0011362770738643578
( p | a ) = 0.026350201863748316
( q | a ) = 0.0005522687453977604
( r | a ) = 0.10243633039636392
( s | a ) = 0.10091283040905975
( t | a ) = 0.13608028844933093
( u | a ) = 0.007471497854404184
( v | a ) = 0.02326511438945738
( w | a ) = 0.01546987278775106
( x | a ) = 0.0004126145798948785
( y | a ) = 0.027315085189040956
( z | a ) = 0.0023931645633902955
( a | b ) = 0.061961487307002835
( b | b ) = 0.02634013762794194
( c | b ) = 0.0018215462904065229
( d | b ) = 0.0026311224194760885
( e | b ) = 0.2381599491123576
( f | b ) = 0.0015902388249580755
( g | b ) = 0.0008384895622506216
( h | b ) = 0.0037876597467183253
( i | b ) = 0.03831029896489909
( j | b ) = 0.005059850806684786
( k | b ) = 0.0004337014977158388
( l | b ) = 0.11267564910657492
( m | b ) = 0.002226334354941306
( n | b ) = 0.0017058925576822993
( o | b ) = 0.14401781067483954
( p | b ) = 0.0005493552304400625
( q | b ) = 0.00020239403226739142
( r | b ) = 0.05623662753715376
( s | b ) = 0.029231480946047533
( t | b ) = 0.012635170300121436
( u | b ) = 0.1540218585554849
( v | b ) = 0.0008384895622506216
( w | b ) = 0.0052333314057711215
( x | b ) = 2.891343318105592e-05
( y | b ) = 0.08063956514196495
( z | b ) = 2.891343318105592e-05
( a | c ) = 0.14035355074672357
( b | c ) = 0.0008925850132799234
( c | c ) = 0.01604475987286106
( d | c ) = 0.0008490442809248052
( e | c ) = 0.15010667479427003
( f | c ) = 0.0006313406191492141
( g | c ) = 0.0007184220838594506
( h | c ) = 0.1653459311185614
( i | c ) = 0.052314189924674535
( j | c ) = 0.00010885183088779553
( k | c ) = 0.09180563417076676
( l | c ) = 0.03511560064440284
( m | c ) = 0.0008925850132799234
( n | c ) = 0.0005007184220838594
( o | c ) = 0.16255932424783384
( p | c ) = 0.0009361257456350416
( q | c ) = 0.0008055035485696869
( r | c ) = 0.05854051465145644
( s | c ) = 0.003679191884007489
( t | c ) = 0.05488309313362651
( u | c ) = 0.03986154047111072
( v | c ) = 0.0003265554926633866
( w | c ) = 0.0015456959986066966
( x | c ) = 2.1770366177559107e-05
( y | c ) = 0.006596420951800409
( z | c ) = 0.00041363695737362303
( a | d ) = 0.09879136171528709
( b | d ) = 0.04292083290382435
( c | d ) = 0.01962426553963509
( d | d ) = 0.025963818163075972
( e | d ) = 0.13945727244613956
( f | d ) = 0.02869549530976188
( g | d ) = 0.011867333264611896
( h | d ) = 0.03887485826203484
( i | d ) = 0.11551644160395835
( j | d ) = 0.003285743737758994
( k | d ) = 0.002358004329450572
( l | d ) = 0.029133594474796413
( m | d ) = 0.023979486650860735
( n | d ) = 0.022690959694876816
( o | d ) = 0.07557210596845686
( p | d ) = 0.013310483455313885
( q | d ) = 0.0023322337903308936
( r | d ) = 0.03207143593443975
( s | d ) = 0.08067467271415318
( t | d ) = 0.09977064220183486
( u | d ) = 0.02060354602618287
( v | d ) = 0.00557932171941037
( w | d ) = 0.041503453252242035
( x | d ) = 6.442634779919596e-05
( y | d ) = 0.01694412947118854
( z | d ) = 3.865580867951758e-05
( a | e ) = 0.08684299619128227
( b | e ) = 0.02162082099026661
( c | e ) = 0.03484976724502751
( d | e ) = 0.08940753279729158
( e | e ) = 0.04710537452391028
( f | e ) = 0.023474396953025816
( g | e ) = 0.015577655522640711
( h | e ) = 0.022018620397799407
( i | e ) = 0.03275074058400339
( j | e ) = 0.001578501904358866
( k | e ) = 0.002628015234870927
( l | e ) = 0.046732966567922134
