( a | a ) = 0.0031205649504984353
( b | a ) = 0.027794401791973736
( c | a ) = 0.045714139151548316
( d | a ) = 0.02201494451379033
( e | a ) = 0.003530940615221517
( f | a ) = 0.008985517158832482
( g | a ) = 0.02473368329258075
( h | a ) = 0.003958415265974727
( i | a ) = 0.1998273002410957
( j | a ) = 0.002727288271805482
( k | a ) = 0.0003847271856778893
( l | a ) = 0.0640613511618761
( m | a ) = 0.03492467896653728
( n | a ) = 0.1515055657199528
( o | a ) = 0.0010173896687926407
( p | a ) = 0.05498178957987791
( q | a ) = 0.007207222611699126
( r | a ) = 0.09205239129319631
( s | a ) = 0.055785441923293946
( t | a ) = 0.05614452062992664
( u | a ) = 0.08287023579501736
( v | a ) = 0.04485918985004189
( w | a ) = 5.9846451105449445e-05
( x | a ) = 0.0018039430261785475
( y | a ) = 0.003684831489492673
( z | a ) = 0.0006925089342202008
( a | b ) = 0.14170134073046695
( b | b ) = 0.0008475882262290029
( c | b ) = 0.0002311604253351826
( d | b ) = 0.0020804438280166435
( e | b ) = 0.08267837879488366
( f | b ) = 0.0003852673755586377
( g | b ) = 7.705347511172754e-05
( h | b ) = 0.0003852673755586377
( i | b ) = 0.12413314840499307
( j | b ) = 0.006703652334720296
( k | b ) = 7.705347511172754e-05
( l | b ) = 0.23801818462012636
( m | b ) = 0.001001695176452458
( n | b ) = 7.705347511172754e-05
( o | b ) = 0.11658190784404376
( p | b ) = 0.0002311604253351826
( q | b ) = 0.0002311604253351826
( r | b ) = 0.1614270303590692
( s | b ) = 0.04723378024348898
( t | b ) = 0.004237941131145014
( u | b ) = 0.018261673601479428
( v | b ) = 0.0002311604253351826
( w | b ) = 7.705347511172754e-05
( x | b ) = 7.705347511172754e-05
( y | b ) = 0.002850978579133919
( z | b ) = 7.705347511172754e-05
( a | c ) = 0.11915691900242772
( b | c ) = 0.00037519311410284703
( c | c ) = 0.01807548002648422
( d | c ) = 0.004568527918781726
( e | c ) = 0.295718384462591
( f | c ) = 0.0005076142131979696
( g | c ) = 0.0001544912822776429
( h | c ) = 0.11094681085853013
( i | c ) = 0.060052968439638046
( j | c ) = 0.0004634738468329287
( k | c ) = 0.0009490178768483779
( l | c ) = 0.028360185389538734
( m | c ) = 0.0020083866696093576
( n | c ) = 0.0013021408077687044
( o | c ) = 0.21754579563010373
( p | c ) = 0.0020966674023394395
( q | c ) = 0.0015669830059589494
( r | c ) = 0.03657029353343633
( s | c ) = 0.007481792098874421
( t | c ) = 0.028271904656808653
( u | c ) = 0.04698741999558596
( v | c ) = 0.0007724564113882145
( w | c ) = 2.2070183182520416e-05
( x | c ) = 2.2070183182520416e-05
( y | c ) = 0.001655263738689031
( z | c ) = 2.2070183182520416e-05
( a | d ) = 0.10535292574127525
( b | d ) = 0.0002436555834614087
( c | d ) = 0.003429920905649061
( d | d ) = 0.008265547100498557
( e | d ) = 0.5037485474378678
( f | d ) = 0.0009183941222776174
( g | d ) = 0.00039359748097612176
( h | d ) = 0.004779397983281478
( i | d ) = 0.11528657645162499
( j | d ) = 0.003842261123814522
( k | d ) = 1.8742737189339132e-05
( l | d ) = 0.015387787232447426
( m | d ) = 0.006653671702215392
( n | d ) = 0.004067173970086591
( o | d ) = 0.05448513700940885
( p | d ) = 0.003167522584998313
( q | d ) = 0.002980095213104922
( r | d ) = 0.03278104734415414
( s | d ) = 0.01808674138771226
( t | d ) = 0.0010308505454136522
( u | d ) = 0.10032987217453238
( v | d ) = 0.0014431907635791131
( w | d ) = 0.00035611200659744347
( x | d ) = 5.6228211568017396e-05
( y | d ) = 0.0006934812760055479
( z | d ) = 1.8742737189339132e-05
( a | e ) = 0.030621256981360607
( b | e ) = 0.007397718861449431
( c | e ) = 0.057066314514501046
( d | e ) = 0.05225506358926048
( e | e ) = 0.03131098176434964
( f | e ) = 0.0150183365856941
( g | e ) = 0.010753818720139963
( h | e ) = 0.004874335509050535
( i | e ) = 0.017566953771616985
( j | e ) = 0.010005214992261624
( k | e ) = 0.0003995356974631586
( l | e ) = 0.0630383217818451
( m | e ) = 0.05907660991857883
( n | e ) = 0.13413044209676334
( o | e ) = 0.005261254289751699
( p | e ) = 0.043154060964941794
( q | e ) = 0.01450524863737299
( r | e ) = 0.08802822824843551
( s | e ) = 0.18581774443173407
( t | e ) = 0.08203939842540879
( u | e ) = 0.05132982302671422
( v | e ) = 0.021881939304219097
( w | e ) = 0.0003827131417804993
( x | e ) = 0.005395834735212973
( y | e ) = 0.000340656752573851
( z | e ) = 0.005614527959087545
( a | f ) = 0.18283128461434553
( b | f ) = 0.00020262055923274348
( c | f ) = 0.0018235850330946914
( d | f ) = 0.0035796298797784684
( e | f ) = 0.11961367013372957
( f | f ) = 0.08516817506416317
( g | f ) = 0.0003377009320545725
( h | f ) = 0.0008780224233418885
( i | f ) = 0.1267729298932865
( j | f ) = 0.00047278130487640144
( k | f ) = 6.754018641091449e-05
( l | f ) = 0.06706740510603809
( m | f ) = 0.002093745778738349
( n | f ) = 0.00020262055923274348
( o | f ) = 0.1783736323112252
( p | f ) = 0.0014183439146292045
( q | f ) = 0.0011481831689855464
( r | f ) = 0.08841010401188708
( s | f ) = 0.011549371876266378
( t | f ) = 0.0007429420505200594
( u | f ) = 0.08287180872619208
( v | f ) = 0.00020262055923274348
( w | f ) = 6.754018641091449e-05
( x | f ) = 6.754018641091449e-05
( y | f ) = 6.754018641091449e-05
( z | f ) = 6.754018641091449e-05
( a | g ) = 0.11734992679355784
( b | g ) = 0.00021961932650073208
( c | g ) = 0.0019765739385065885
( d | g ) = 0.0038799414348462667
( e | g ) = 0.31325036603221085
( f | g ) = 0.0012445095168374816
( g | g ) = 0.0019765739385065885
( h | g ) = 0.0008052708638360175
( i | g ) = 0.06786237188872621
( j | g ) = 0.00021961932650073208
( k | g ) = 7.320644216691069e-05
( l | g ) = 0.045461200585651534
( m | g ) = 0.0028550512445095167
( n | g ) = 0.09626647144948755
( o | g ) = 0.047218155197657395
( p | g ) = 0.00036603221083455345
( q | g ) = 0.0010980966325036604
( r | g ) = 0.11398243045387994
( s | g ) = 0.009882869692532943
( t | g ) = 0.02979502196193265
( u | g ) = 0.09377745241581259
( v | g ) = 0.00021961932650073208
( w | g ) = 7.320644216691069e-05
( x | g ) = 7.320644216691069e-05
( y | g ) = 0.002269399707174231
( z | g ) = 0.00021961932650073208
( a | h ) = 0.28174259483803915
( b | h ) = 0.012904902130608003
( c | h ) = 0.0026849125238177724
( d | h ) = 0.0009527108955482419
( e | h ) = 0.32851203880131646
( f | h ) = 0.001645591546856054
( g | h ) = 8.661008141347653e-05
( h | h ) = 8.661008141347653e-05
( i | h ) = 0.07942144465615798
( j | h ) = 0.0009527108955482419
( k | h ) = 8.661008141347653e-05
( l | h ) = 0.0021652520353369134
( m | h ) = 0.007188636757318552
( n | h ) = 0.0011259310583751948
( o | h ) = 0.13848952018014896
( p | h ) = 0.00043305040706738266
( q | h ) = 0.001818811709683007
( r | h ) = 0.008054737571453318
( s | h ) = 0.0038974536636064436
( t | h ) = 0.001472371384029101
( u | h ) = 0.043738091113805645
( v | h ) = 0.0002598302442404296
( w | h ) = 8.661008141347653e-05
( x | h ) = 8.661008141347653e-05
( y | h ) = 0.02572319417980253
( z | h ) = 8.661008141347653e-05
( a | i ) = 0.016874046249559807
( b | i ) = 0.01094612043667097
( c | i ) = 0.023271510740697266
( d | i ) = 0.02593222991743945
( e | i ) = 0.1245353523496498
( f | i ) = 0.012569941698947451
( g | i ) = 0.016678405133622884
( h | i ) = 0.0005575771804202371
( i | i ) = 0.0019466291035724068
( j | i ) = 0.005663810306373988
( k | i ) = 0.00040106428767069686
( l | i ) = 0.1256309425988966
( m | i ) = 0.028690769652150096
( n | i ) = 0.1259048401612083
( o | i ) = 0.041759596196736706
( p | i ) = 0.01178737723519975
( q | i ) = 0.01969127831905153
( r | i ) = 0.06059983566146261
( s | i ) = 0.1399518722854795
( t | i ) = 0.16669601283405722
( u | i ) = 0.0024748601166021053
( v | i ) = 0.020591227452361388
( w | i ) = 9.782055796846265e-06
( x | i ) = 0.007874554916461244
( y | i ) = 6.847439057792385e-05
( z | i ) = 0.0025335524513831827
( a | j ) = 0.14330589254766032
( b | j ) = 0.0005415944540727903
( c | j ) = 0.00010831889081455805
( d | j ) = 0.00010831889081455805
( e | j ) = 0.6008448873483535
( f | j ) = 0.00010831889081455805
( g | j ) = 0.00010831889081455805
( h | j ) = 0.0005415944540727903
( i | j ) = 0.001841421143847487
( j | j ) = 0.00010831889081455805
( k | j ) = 0.00010831889081455805
( l | j ) = 0.00010831889081455805
( m | j ) = 0.00010831889081455805
( n | j ) = 0.00010831889081455805
( o | j ) = 0.11947573656845754
( p | j ) = 0.00010831889081455805
( q | j ) = 0.00010831889081455805
( r | j ) = 0.00010831889081455805
( s | j ) = 0.00010831889081455805
( t | j ) = 0.00010831889081455805
( u | j ) = 0.05816724436741768
( v | j ) = 0.00010831889081455805
( w | j ) = 0.00010831889081455805
( x | j ) = 0.00010831889081455805
( y | j ) = 0.0029246100519930676
( z | j ) = 0.00010831889081455805
( a | k ) = 0.06771799628942486
( b | k ) = 0.00463821892393321
( c | k ) = 0.0027829313543599257
( d | k ) = 0.015769944341372914
( e | k ) = 0.04359925788497217
( f | k ) = 0.00463821892393321
( g | k ) = 0.0009276437847866419
( h | k ) = 0.006493506493506494
( i | k ) = 0.10111317254174397
( j | k ) = 0.0027829313543599257
( k | k ) = 0.0009276437847866419
( l | k ) = 0.015769944341372914
( m | k ) = 0.0027829313543599257
( n | k ) = 0.006493506493506494
( o | k ) = 0.06586270871985157
( p | k ) = 0.00463821892393321
( q | k ) = 0.00463821892393321
( r | k ) = 0.012059369202226345
( s | k ) = 0.015769944341372914
( t | k ) = 0.00463821892393321
( u | k ) = 0.006493506493506494
( v | k ) = 0.0027829313543599257
( w | k ) = 0.0009276437847866419
( x | k ) = 0.0009276437847866419
( y | k ) = 0.0009276437847866419
( z | k ) = 0.0009276437847866419
( a | l ) = 0.20805164505951906
( b | l ) = 0.0010737294201861132
( c | l ) = 0.0063230732522071105
( d | l ) = 0.007860759829263765
( e | l ) = 0.3923619396060341
( f | l ) = 0.00762215329144463
( g | l ) = 0.0025318804846363903
( h | l ) = 0.007993319016941064
( i | l ) = 0.06189188472653039
( j | l ) = 0.0029560698852037436
( k | l ) = 6.627959383864896e-05
( l | l ) = 0.08148413266523502
( m | l ) = 0.007542617778838251
( n | l ) = 0.010379384395132427
( o | l ) = 0.06809565470982794
( p | l ) = 0.006482144277419868
( q | l ) = 0.013454757549245739
( r | l ) = 0.0034597947983774757
( s | l ) = 0.022680877011585672
( t | l ) = 0.0046528274874731565
( u | l ) = 0.06854635594793075
( v | l ) = 0.00316816458548742
( w | l ) = 6.627959383864896e-05
( x | l ) = 6.627959383864896e-05
( y | l ) = 0.0025318804846363903
( z | l ) = 3.9767756303189374e-05
( a | m ) = 0.18026833217672913
( b | m ) = 0.034027295859356925
( c | m ) = 0.0007633587786259542
( d | m ) = 0.004325699745547073
( e | m ) = 0.3652787416146195
( f | m ) = 0.0003007170946102244
( g | m ) = 0.00020818875780707842
( h | m ) = 0.0003007170946102244
( i | m ) = 0.08908165625722878
( j | m ) = 0.00016192458940550544
( k | m ) = 0.00048577376821651633
( l | m ) = 0.003122831367106176
( m | m ) = 0.0667823270876706
( n | m ) = 0.001272264631043257
( o | m ) = 0.15098311357853342
( p | m ) = 0.06687485542447374
( q | m ) = 0.0003007170946102244
( r | m ) = 0.00016192458940550544
( s | m ) = 0.001226000462641684
( t | m ) = 0.00016192458940550544
( u | m ) = 0.015567892667129308
( v | m ) = 0.00011566042100393245
( w | m ) = 2.313208420078649e-05
( x | m ) = 2.313208420078649e-05
( y | m ) = 0.003122831367106176
( z | m ) = 2.313208420078649e-05
( a | n ) = 0.07317745461458036
( b | n ) = 0.004248645566010835
( c | n ) = 0.057798688337610496
( d | n ) = 0.09302347685581218
( e | n ) = 0.17442258340461933
( f | n ) = 0.011928523904571808
( g | n ) = 0.026927098184583213
( h | n ) = 0.0028989639768082884
( i | n ) = 0.032629978138960174
( j | n ) = 0.004134587966923296
( k | n ) = 8.554319931565441e-05
( l | n ) = 0.009533314323733486
( m | n ) = 0.010559832715521338
( n | n ) = 0.033048189335614486
( o | n ) = 0.05741849634065203
( p | n ) = 0.01312612869499097
( q | n ) = 0.01276494629788043
( r | n ) = 0.007100085543199315
( s | n ) = 0.11872445585020436
( t | n ) = 0.22595760859233913
( u | n ) = 0.011776447105788424
( v | n ) = 0.009476285524189715
( w | n ) = 0.00010455279916357761
( x | n ) = 0.00014257199885942402
( y | n ) = 0.0011310711909514304
( z | n ) = 0.0016823495865412033
( a | o ) = 0.0019491867186449791
( b | o ) = 0.014423981717972845
( c | o ) = 0.019236456512972174
( d | o ) = 0.011009544293587848
( e | o ) = 0.007380024196800645
( f | o ) = 0.01154725097459336
( g | o ) = 0.0038311601021642694
( h | o ) = 0.0004973786799300982
( i | o ) = 0.0873370076623202
( j | o ) = 0.0016265627100416722
( k | o ) = 0.0003898373437289958
( l | o ) = 0.032437155531657484
( m | o ) = 0.07128646323430568
( n | o ) = 0.2986826186315365
( o | o ) = 0.0018147600483936013
( p | o ) = 0.013993816373168436
( q | o ) = 0.006116413496437693
( r | o ) = 0.09335932248958194
