( a | a ) = 0.005394820971867008
( b | a ) = 0.04951246803069054
( c | a ) = 0.06565696930946291
( d | a ) = 0.020260549872122762
( e | a ) = 0.0031569693094629157
( f | a ) = 0.027373721227621484
( g | a ) = 0.0367247442455243
( h | a ) = 0.036804667519181586
( i | a ) = 0.0033168158567774934
( j | a ) = 0.0009990409207161126
( k | a ) = 0.0036365089514066497
( l | a ) = 0.08931425831202046
( m | a ) = 0.03952205882352941
( n | a ) = 0.1601262787723785
( o | a ) = 0.00011988491048593351
( p | a ) = 0.0038762787723785165
( q | a ) = 3.9961636828644505e-05
( r | a ) = 0.10489929667519182
( s | a ) = 0.12336157289002557
( t | a ) = 0.0548673273657289
( u | a ) = 0.1363091432225064
( v | a ) = 0.0029171994884910485
( w | a ) = 0.0027573529411764708
( x | a ) = 0.0001998081841432225
( y | a ) = 3.9961636828644505e-05
( z | a ) = 0.0028372762148337594
( a | b ) = 0.09027159394479074
( b | b ) = 0.0021148708815672307
( c | b ) = 0.0014470169189670526
( d | b ) = 0.007235084594835263
( e | b ) = 0.4678317008014248
( f | b ) = 0.0027827248441674086
( g | b ) = 0.012132680320569902
( h | b ) = 0.004118432769367765
( i | b ) = 0.05710151380231523
( j | b ) = 0.00033392698130008905
( k | b ) = 0.001892252894033838
( l | b ) = 0.06645146927871771
( m | b ) = 0.0030053428317008014
( n | b ) = 0.0027827248441674086
( o | b ) = 0.019701691896705252
( p | b ) = 0.00033392698130008905
( q | b ) = 0.00011130899376669635
( r | b ) = 0.08693232413178985
( s | b ) = 0.03305877114870882
( t | b ) = 0.031945681211041854
( u | b ) = 0.02504452359750668
( v | b ) = 0.00011130899376669635
( w | b ) = 0.004118432769367765
( x | b ) = 0.00011130899376669635
( y | b ) = 0.001001780943900267
( z | b ) = 0.005676758682101514
( a | c ) = 0.00046816479400749064
( b | c ) = 6.688068485821294e-05
( c | c ) = 0.00113697164258962
( d | c ) = 6.688068485821294e-05
( e | c ) = 0.0014044943820224719
( f | c ) = 6.688068485821294e-05
( g | c ) = 6.688068485821294e-05
( h | c ) = 0.8688469769930444
( i | c ) = 0.0014044943820224719
( j | c ) = 6.688068485821294e-05
( k | c ) = 0.07818352059925093
( l | c ) = 0.00020064205457463884
( m | c ) = 6.688068485821294e-05
( n | c ) = 6.688068485821294e-05
( o | c ) = 0.0032771535580524347
( p | c ) = 6.688068485821294e-05
( q | c ) = 6.688068485821294e-05
( r | c ) = 0.00033440342429106473
( s | c ) = 6.688068485821294e-05
( t | c ) = 6.688068485821294e-05
( u | c ) = 0.00020064205457463884
( v | c ) = 6.688068485821294e-05
( w | c ) = 6.688068485821294e-05
